"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          0,           0,          81,      -5.175374278,      -3.037023551,      -3.145908206,      -3.262839105,      -0.401719825,      -2.321822952,    -0.04256693283,   7.962721373e-11,    8.87010252e-05,                 1,                 1,                 1
          0,           0,          82,      -5.175844379,      -3.038085139,      -3.145761822,      -3.262728041,     -0.4105520566,      -2.321741442,    -0.04259298797,   7.962685897e-11,   8.870101622e-05,                 1,                 1,                 1
          0,           0,          83,      -5.176299355,      -3.039188309,      -3.145740762,      -3.262644916,     -0.4191598583,      -2.321646969,    -0.04269432355,   7.962650436e-11,   8.870100723e-05,                 1,                 1,                 1
          0,           0,          84,      -5.176744353,      -3.040446829,      -3.145922531,      -3.262693858,     -0.4276841477,       -2.32154094,    -0.04277862218,   7.962614988e-11,   8.870099824e-05,                 1,                 1,                 1
          0,           0,          85,       -5.17714757,      -3.041913699,      -3.146322272,      -3.263101237,     -0.4351405247,      -2.321424909,    -0.04287253249,   7.962579555e-11,   8.870098924e-05,                 1,                 1,                 1
          0,           0,          86,      -5.177489427,      -3.043554806,      -3.146923718,      -3.263745518,     -0.4407724227,      -2.321300699,    -0.04298387909,   7.962544136e-11,   8.870098024e-05,                 1,                 1,                 1
          0,           0,          87,      -5.177816356,       -3.04485667,      -3.147405827,      -3.263887111,     -0.4459034325,      -2.321170363,    -0.04305587742,   7.962508731e-11,   8.870097122e-05,                 1,                 1,                 1
          0,           0,          88,      -5.178146291,      -3.046374588,      -3.148266161,      -3.264751804,     -0.4510200612,      -2.321036119,    -0.04306854885,    7.96247334e-11,   8.870096221e-05,                 1,                 1,                 1
          0,           0,          89,      -5.178466166,      -3.047825187,      -3.149288082,      -3.265848824,     -0.4557208568,      -2.320900248,    -0.04307228596,   7.962437965e-11,   8.870095318e-05,                 1,                 1,                 1
          0,           0,          90,      -5.178770912,        -3.0490434,      -3.150212728,      -3.266575786,     -0.4598619924,      -2.320764996,    -0.04305102751,   7.962402603e-11,   8.870094416e-05,                 1,                 1,                 1
          0,           0,          91,      -5.179069079,      -3.050303477,      -3.151237019,      -3.267413269,      -0.463740436,      -2.320632516,    -0.04306687499,   7.962367257e-11,   8.870093512e-05,                 1,                 1,                 1
          0,           0,          92,      -5.179368311,      -3.051404295,       -3.15226061,      -3.268203151,     -0.4676157631,      -2.320504855,      -0.043063399,   7.962331926e-11,   8.870092609e-05,                 1,                 1,                 1
          0,           0,          93,      -5.179617043,      -3.052128272,      -3.153288035,      -3.269041916,     -0.4700960293,      -2.320383752,    -0.04307978453,   7.962296609e-11,   8.870091705e-05,                 1,                 1,                 1
          0,           0,          94,       -5.17994054,      -3.052722689,      -3.154279356,       -3.26988677,     -0.4752254268,      -2.320270683,     -0.0431014346,   7.962261308e-11,   8.870090801e-05,                 1,                 1,                 1
          0,           0,          95,      -5.180291634,      -3.053441877,      -3.155271816,      -3.270864544,     -0.4814208678,       -2.32016683,    -0.04312107882,   7.962226022e-11,   8.870089897e-05,                 1,                 1,                 1
          0,           0,          96,       -5.18061433,      -3.054383619,      -3.156279051,      -3.272049444,     -0.4866327715,      -2.320072815,    -0.04313339132,   7.962190752e-11,   8.870088994e-05,                 1,                 1,                 1
          0,           0,          97,      -5.180883957,      -3.055564961,      -3.157245973,      -3.273295339,     -0.4898888199,      -2.319988342,    -0.04313811141,   7.962155496e-11,   8.870088092e-05,                 1,                 1,                 1
          0,           0,          98,      -5.181169399,      -3.056822631,      -3.158241468,      -3.274621168,     -0.4934479846,      -2.319913835,    -0.04316973112,   7.962120257e-11,    8.87008719e-05,                 1,                 1,                 1
          0,           0,          99,      -5.181416308,      -3.058018777,      -3.159263877,      -3.275958543,     -0.4955727005,      -2.319849835,    -0.04318203893,   7.962085033e-11,   8.870086289e-05,                 1,                 1,                 1
          0,           0,         100,      -5.181615171,       -3.05885595,      -3.160043421,      -3.276710759,     -0.4958055819,      -2.319796516,    -0.04321849436,   7.962049824e-11,    8.87008539e-05,                 1,                 1,                 1
          0,           0,         101,      -5.181804759,      -3.059870406,      -3.161042429,      -3.278086933,     -0.4956590616,      -2.319753936,    -0.04325917717,   7.962014632e-11,   8.870084492e-05,                 1,                 1,                 1
          0,           0,         102,      -5.182001199,      -3.060905786,      -3.162220094,       -3.27987076,     -0.4958523639,      -2.319722193,    -0.04333157225,   7.961979455e-11,   8.870083597e-05,                 1,                 1,                 1
          0,           0,         103,      -5.182147643,      -3.061586308,      -3.163119437,       -3.28115696,     -0.4942424041,       -2.31970136,    -0.04338734801,   7.961944295e-11,   8.870082703e-05,                 1,                 1,                 1
          0,           0,         104,      -5.182315697,      -3.062207747,      -3.163928373,      -3.282328586,     -0.4930823866,      -2.319691491,    -0.04347614895,    7.96190915e-11,   8.870081811e-05,                 1,                 1,                 1
          0,           0,         105,      -5.182639741,      -3.062350229,      -3.164601053,      -3.283486051,     -0.4980495225,      -2.319693277,    -0.04348535662,   7.961874022e-11,   8.870080921e-05,                 1,                 1,                 1
          0,           0,         106,      -5.183004276,      -3.062480195,      -3.165262118,      -3.284692433,     -0.5049439246,      -2.319707372,    -0.04350078829,   7.961838911e-11,   8.870080034e-05,                 1,                 1,                 1
          0,           0,         107,      -5.183334303,      -3.062748094,      -3.165979122,      -3.286051794,     -0.5107035598,      -2.319734134,    -0.04348996226,   7.961803815e-11,   8.870079149e-05,                 1,                 1,                 1
          0,           0,         108,      -5.183638881,      -3.063176012,      -3.166790356,      -3.287641997,     -0.5158218735,      -2.319773721,    -0.04347585738,   7.961768736e-11,   8.870078266e-05,                 1,                 1,                 1
          0,           0,         109,      -5.183853527,      -3.063735599,      -3.167685269,      -3.289412508,     -0.5176718072,      -2.319826702,    -0.04347512154,   7.961733674e-11,   8.870077385e-05,                 1,                 1,                 1
          0,           0,         110,      -5.184020386,      -3.064307333,      -3.168625833,      -3.291207251,     -0.5180423858,      -2.319893731,    -0.04346513426,   7.961698629e-11,   8.870076507e-05,                 1,                 1,                 1
          0,           0,         111,      -5.184172442,      -3.064905652,      -3.169550611,      -3.293058683,     -0.5183538358,      -2.319975297,    -0.04345615304,     7.9616636e-11,   8.870075632e-05,                 1,                 1,                 1
          0,           0,         112,      -5.184310665,      -3.065180017,      -3.170386336,      -3.294667022,     -0.5186445008,      -2.320071724,    -0.04342408835,   7.961628588e-11,   8.870074759e-05,                 1,                 1,                 1
          0,           0,         113,       -5.18442477,      -3.065279253,      -3.171035026,      -3.295908361,     -0.5184866305,      -2.320183226,     -0.0434197535,   7.961593593e-11,   8.870073888e-05,                 1,                 1,                 1
