"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          0,           0,         103,      -5.624591927,      -3.240229866,      -3.638354773,      -3.605970966,     -0.9201410305,      -2.887546172,      0.1438451874,   1.201452908e-10,   8.871909655e-05,                 1,                 1,                 1
          0,           0,         104,      -5.624527394,      -3.240957609,      -3.639751661,      -3.607729934,      -0.921248199,      -2.887407161,      0.1410262366,   1.201497835e-10,   8.871912703e-05,                 1,                 1,                 1
          0,           0,         105,      -5.624480788,      -3.240832649,      -3.639055452,      -3.606295173,     -0.9229460318,      -2.887268358,      0.1392933161,   1.201542789e-10,    8.87191575e-05,                 1,                 1,                 1
          0,           0,         106,      -5.624425153,      -3.241257725,      -3.639667113,      -3.606949365,     -0.9242951377,      -2.887129848,      0.1381442026,    1.20158777e-10,   8.871918795e-05,                 1,                 1,                 1
          0,           0,         107,      -5.624340637,      -3.241659853,      -3.640278287,      -3.607532388,     -0.9245777527,      -2.886991603,      0.1372736798,   1.201632779e-10,   8.871921839e-05,                 1,                 1,                 1
          0,           0,         108,      -5.624250513,      -3.242042217,      -3.640866141,      -3.608048901,     -0.9246182726,       -2.88685342,      0.1366116804,   1.201677816e-10,   8.871924882e-05,                 1,                 1,                 1
          0,           0,         109,       -5.62414939,      -3.242429152,      -3.641459693,       -3.60854984,     -0.9242224549,      -2.886715049,      0.1360793688,   1.201722883e-10,   8.871927925e-05,                 1,                 1,                 1
          0,           0,         110,      -5.624052206,      -3.242996543,      -3.642451245,      -3.609709715,     -0.9239636273,      -2.886576892,      0.1355673103,   1.201767981e-10,   8.871930966e-05,                 1,                 1,                 1
          0,           0,         111,      -5.623985393,      -3.242610015,      -3.641007076,      -3.607238512,     -0.9247881434,      -2.886438836,      0.1350918941,   1.201813109e-10,   8.871934008e-05,                 1,                 1,                 1
          0,           0,         112,      -5.623952733,      -3.243081433,      -3.641678571,      -3.608066324,     -0.9267772596,      -2.886300816,      0.1346047253,    1.20185827e-10,   8.871937048e-05,                 1,                 1,                 1
          0,           0,         113,       -5.62389835,      -3.243536075,      -3.642326392,      -3.608769281,     -0.9279383559,      -2.886162871,      0.1403623618,   1.201903463e-10,   8.871940088e-05,                 1,                 1,                 1
          0,           0,         114,       -5.62383131,      -3.243961495,      -3.642958549,      -3.609379256,     -0.9286289876,      -2.886024957,      0.1382467532,   1.201948689e-10,   8.871943128e-05,                 1,                 1,                 1
          0,           0,         115,      -5.623752965,      -3.244672293,      -3.644359357,      -3.611091408,     -0.9289247345,      -2.885886909,      0.1355646458,    1.20199395e-10,   8.871946167e-05,                 1,                 1,                 1
          0,           0,         116,       -5.62369712,      -3.244538746,      -3.643596999,      -3.609551452,     -0.9299868732,      -2.885748921,      0.1338185834,   1.202039245e-10,   8.871949205e-05,                 1,                 1,                 1
          0,           0,         117,      -5.623636618,      -3.244969487,       -3.64418263,      -3.610107696,     -0.9308880679,       -2.88561096,      0.1325841879,   1.202084574e-10,   8.871952242e-05,                 1,                 1,                 1
          0,           0,         118,      -5.623548558,      -3.245396722,      -3.644760947,      -3.610615976,     -0.9307784901,      -2.885473063,      0.1372649774,    1.20212994e-10,   8.871955277e-05,                 1,                 1,                 1
          0,           0,         119,      -5.623446305,      -3.245748893,      -3.644993971,      -3.610875438,       -0.93014583,       -2.88533531,       0.138275016,   1.202175341e-10,   8.871958312e-05,                 1,                 1,                 1
          0,           0,         120,      -5.623345593,      -3.245008754,      -3.640229813,      -3.607723671,     -0.9295822311,      -2.885197565,      0.1423458852,   1.202220779e-10,   8.871961344e-05,                 1,                 1,                 1
          0,           0,         121,      -5.623232634,      -3.246684498,      -3.646369164,      -3.612375521,     -0.9286421645,      -2.885059858,      0.1363216756,   1.202266253e-10,   8.871964375e-05,                 1,                 1,                 1
          0,           0,         122,      -5.623154889,       -3.24633338,       -3.64517468,      -3.610104372,     -0.9289249981,      -2.884922004,      0.1325787521,   1.202311765e-10,   8.871967403e-05,                 1,                 1,                 1
          0,           0,         123,       -5.62313604,      -3.246794068,      -3.645877595,      -3.610988983,     -0.9314092031,      -2.884783938,      0.1302053039,   1.202357314e-10,   8.871970429e-05,                 1,                 1,                 1
          0,           0,         124,      -5.623079201,      -3.247237478,      -3.646562061,      -3.611775158,     -0.9325233448,      -2.884645721,      0.1285702717,     1.2024029e-10,   8.871973453e-05,                 1,                 1,                 1
          0,           0,         125,      -5.622997064,      -3.247669179,      -3.647236554,      -3.612468913,     -0.9327127584,      -2.884507357,      0.1273445183,   1.202448524e-10,   8.871976473e-05,                 1,                 1,                 1
          0,           0,         126,      -5.622900378,      -3.248401703,      -3.648709263,       -3.61428133,     -0.9324351812,      -2.884368809,      0.1263261328,   1.202494186e-10,    8.87197949e-05,                 1,                 1,                 1
          0,           0,         127,      -5.622831992,      -3.248284751,      -3.647999122,      -3.612856874,     -0.9332263646,       -2.88423013,      0.1254205032,   1.202539886e-10,   8.871982503e-05,                 1,                 1,                 1
          0,           0,         128,      -5.622767995,      -3.248737533,      -3.648631532,      -3.613554206,     -0.9342364913,      -2.884091485,      0.1246265351,   1.202585624e-10,   8.871985513e-05,                 1,                 1,                 1
          0,           0,         129,      -5.622679932,      -3.249172936,      -3.649242474,      -3.614153922,     -0.9345533894,      -2.883952767,      0.1292570435,   1.202631399e-10,   8.871988519e-05,                 1,                 1,                 1
          0,           0,         130,      -5.622583843,      -3.249580547,       -3.64980697,      -3.614660492,     -0.9347220084,      -2.883813881,      0.1283765875,   1.202677212e-10,   8.871991521e-05,                 1,                 1,                 1
          0,           0,         131,      -5.622501852,      -3.249954952,      -3.650325097,       -3.61507485,      -0.935482945,      -2.883674911,      0.1297050201,   1.202723063e-10,   8.871994519e-05,                 1,                 1,                 1
          0,           0,         132,      -5.622417029,      -3.250497673,      -3.651271781,      -3.616144374,     -0.9362149054,      -2.883535949,      0.1259712352,   1.202768951e-10,   8.871997513e-05,                 1,                 1,                 1
          0,           0,         133,      -5.622340392,      -3.250072382,      -3.649772741,      -3.613570661,     -0.9373340101,      -2.883396906,      0.1236065639,   1.202814875e-10,   8.872000503e-05,                 1,                 1,                 1
